[0. 0.]
[0.00141421 0.00141421]
[0.00282843 0.00282843]
[0.00424264 0.00424264]
[0.00565685 0.00565685]
[0.00707107 0.00707107]
[0.00848528 0.00848528]
[0.00989949 0.00989949]
[0.01131371 0.01131371]
[0.01272792 0.01272792]
[0.01414214 0.01414214]
[0.01555635 0.01555635]
[0.01697056 0.01697056]
[0.01838478 0.01838478]
[0.01979899 0.01979899]
[0.0212132 0.0212132]
[0.02262742 0.02262742]
[0.02404163 0.02404163]
[0.02545584 0.02545584]
[0.02687006 0.02687006]
[0.02828427 0.02828427]
[0.02969848 0.02969848]
[0.0311127 0.0311127]
[0.03252691 0.03252691]
[0.03394113 0.03394113]
[0.03535534 0.03535534]
[0.03676955 0.03676955]
[0.03818377 0.03818377]
[0.03959798 0.03959798]
[0.04101219 0.04101219]
[0.04242641 0.04242641]
[0.04384062 0.04384062]
[0.04525483 0.04525483]
[0.04666905 0.04666905]
[0.04808326 0.04808326]
[0.04949747 0.04949747]
[0.05091169 0.05091169]
[0.0523259 0.0523259]
[0.05374012 0.05374012]
[0.05515433 0.05515433]
[0.05656854 0.05656854]
[0.05798276 0.05798276]
[0.05939697 0.05939697]
[0.06081118 0.06081118]
[0.0622254 0.0622254]
[0.06363961 0.06363961]
[0.06505382 0.06505382]
[0.06646804 0.06646804]
[0.06788225 0.06788225]
[0.06929646 0.06929646]
[0.07071068 0.07071068]
[0.07212489 0.07212489]
[0.07353911 0.07353911]
[0.07495332 0.07495332]
[0.07636753 0.07636753]
[0.07778175 0.07778175]
[0.07919596 0.07919596]
[0.08061017 0.08061017]
[0.08202439 0.08202439]
[0.0834386 0.0834386]
[0.08485281 0.08485281]
[0.08626703 0.08626703]
[0.08768124 0.08768124]
[0.08909545 0.08909545]
[0.09050967 0.09050967]
[0.09192388 0.09192388]
[0.0933381 0.0933381]
[0.09475231 0.09475231]
[0.09616652 0.09616652]
[0.09758074 0.09758074]
[0.09899495 0.09899495]
[0.10040916 0.10040916]
[0.10182338 0.10182338]
[0.10323759 0.10323759]
[0.1046518 0.1046518]
[0.10606602 0.10606602]
[0.10748023 0.10748023]
[0.10889444 0.10889444]
[0.11030866 0.11030866]
[0.11172287 0.11172287]
[0.11313708 0.11313708]
[0.1145513 0.1145513]
[0.11596551 0.11596551]
[0.11737973 0.11737973]
[0.11879394 0.11879394]
[0.12020815 0.12020815]
[0.12162237 0.12162237]
[0.12303658 0.12303658]
[0.12445079 0.12445079]
[0.12586501 0.12586501]
[0.12727922 0.12727922]
[0.12869343 0.12869343]
[0.13010765 0.13010765]
[0.13210765 0.13010765]
[0.13410765 0.13010765]
[0.13610765 0.13010765]
[0.13810765 0.13010765]
[0.14010765 0.13010765]
[0.14210765 0.13010765]
[0.14410765 0.13010765]
[0.14610765 0.13010765]
[0.14810765 0.13010765]
[0.15010765 0.13010765]
[0.15210765 0.13010765]
[0.15410765 0.13010765]
[0.15610765 0.13010765]
[0.15810765 0.13010765]
[0.16010765 0.13010765]
[0.16210765 0.13010765]
[0.16410765 0.13010765]
[0.16610765 0.13010765]
[0.16810765 0.13010765]
[0.17010765 0.13010765]
[0.17210765 0.13010765]
[0.17410765 0.13010765]
[0.17610765 0.13010765]
[0.17810765 0.13010765]
[0.18010765 0.13010765]
[0.18210765 0.13010765]
[0.18410765 0.13010765]
[0.18610765 0.13010765]
[0.18810765 0.13010765]
[0.19010765 0.13010765]
[0.19210765 0.13010765]
[0.19410765 0.13010765]
[0.19610765 0.13010765]
[0.19810765 0.13010765]
[0.20010765 0.13010765]
[0.20210765 0.13010765]
[0.20410765 0.13010765]
[0.20610765 0.13010765]
[0.20810765 0.13010765]
[0.21010765 0.13010765]
[0.21210765 0.13010765]
[0.21410765 0.13010765]
[0.21610765 0.13010765]
[0.21810765 0.13010765]
[0.22010765 0.13010765]
[0.22210765 0.13010765]
[0.22410765 0.13010765]
[0.22552186 0.12869343]
[0.22693607 0.12727922]
[0.22835029 0.12586501]
[0.2297645  0.12445079]
[0.23117872 0.12303658]
[0.23259293 0.12162237]
[0.23400714 0.12020815]
[0.23542136 0.11879394]
[0.23683557 0.11737973]
[0.23824978 0.11596551]
[0.239664  0.1145513]
[0.24107821 0.11313708]
[0.24249242 0.11172287]
[0.24390664 0.11030866]
[0.24532085 0.10889444]
[0.24673506 0.10748023]
[0.24814928 0.10606602]
[0.24956349 0.1046518 ]
[0.25097771 0.10323759]
[0.25239192 0.10182338]
[0.25380613 0.10040916]
[0.25522035 0.09899495]
[0.25663456 0.09758074]
[0.25804877 0.09616652]
[0.25946299 0.09475231]
[0.2608772 0.0933381]
[0.26229141 0.09192388]
[0.26370563 0.09050967]
[0.26511984 0.08909545]
[0.26653405 0.08768124]
[0.26794827 0.08626703]
[0.26936248 0.08485281]
[0.2707767 0.0834386]
[0.27219091 0.08202439]
[0.27360512 0.08061017]
[0.27501934 0.07919596]
[0.27643355 0.07778175]
[0.27784776 0.07636753]
[0.27926198 0.07495332]
[0.28067619 0.07353911]
[0.2820904  0.07212489]
[0.28350462 0.07071068]
[0.28491883 0.06929646]
[0.28633304 0.06788225]
[0.28774726 0.06646804]
[0.28916147 0.06505382]
[0.29057569 0.06363961]
[0.2919899 0.0622254]
[0.29340411 0.06081118]
[0.29481833 0.05939697]
[0.29623254 0.05798276]
[0.29764675 0.05656854]
[0.29906097 0.05515433]
[0.30047518 0.05374012]
[0.30188939 0.0523259 ]
[0.30330361 0.05091169]
[0.30471782 0.04949747]
[0.30613203 0.04808326]
[0.30754625 0.04666905]
[0.30896046 0.04525483]
[0.31037468 0.04384062]
[0.31178889 0.04242641]
[0.3132031  0.04101219]
[0.31461732 0.03959798]
[0.31603153 0.03818377]
[0.31744574 0.03676955]
[0.31885996 0.03535534]
[0.32027417 0.03394113]
[0.32168838 0.03252691]
[0.3231026 0.0311127]
[0.32451681 0.02969848]
[0.32593102 0.02828427]
[0.32734524 0.02687006]
[0.32875945 0.02545584]
[0.33017366 0.02404163]
[0.33158788 0.02262742]
[0.33300209 0.0212132 ]
[0.33441631 0.01979899]
[0.33583052 0.01838478]
[0.33724473 0.01697056]
[0.33865895 0.01555635]
[0.34007316 0.01414214]
[0.34148737 0.01272792]
[0.34290159 0.01131371]
[0.3443158  0.00989949]
[0.34573001 0.00848528]
[0.34714423 0.00707107]
[0.34855844 0.00565685]
[0.34997265 0.00424264]
[0.34997265 0.00224264]
[0.35138687 0.00082843]
[ 0.35280108 -0.00058579]
[ 0.3542153 -0.002    ]
[ 0.35562951 -0.00341421]
[ 0.35704372 -0.00482843]
[ 0.35704372 -0.00682843]
[ 0.35845794 -0.00824264]
[ 0.35987215 -0.00965685]
[ 0.36128636 -0.01107107]
[ 0.36270058 -0.01248528]
[ 0.36411479 -0.01389949]
[ 0.365529   -0.01531371]
[ 0.365529   -0.01731371]
[ 0.36694322 -0.01872792]
[ 0.36835743 -0.02014214]
[ 0.36977164 -0.02155635]
[ 0.37118586 -0.02297056]
[ 0.37260007 -0.02438478]
[ 0.37401429 -0.02579899]
[ 0.37401429 -0.02779899]
[ 0.3754285 -0.0292132]
[ 0.37684271 -0.03062742]
[ 0.37825693 -0.03204163]
[ 0.37967114 -0.03345584]
[ 0.38108535 -0.03487006]
[ 0.38108535 -0.03687006]
[ 0.38249957 -0.03828427]
[ 0.38391378 -0.03969848]
[ 0.38532799 -0.0411127 ]
[ 0.38674221 -0.04252691]
[ 0.38815642 -0.04394113]
[ 0.38957063 -0.04535534]
[ 0.38957063 -0.04735534]
[ 0.39098485 -0.04876955]
[ 0.39239906 -0.05018377]
[ 0.39381328 -0.05159798]
[ 0.39522749 -0.05301219]
[ 0.3966417  -0.05442641]
[ 0.39805592 -0.05584062]
[ 0.39805592 -0.05784062]
[ 0.39947013 -0.05925483]
[ 0.40088434 -0.06066905]
[ 0.40229856 -0.06208326]
[ 0.40371277 -0.06349747]
[ 0.40512698 -0.06491169]
[ 0.4065412 -0.0663259]
[ 0.4065412 -0.0683259]
[ 0.40795541 -0.06974012]
[ 0.40936962 -0.07115433]
[ 0.41078384 -0.07256854]
[ 0.41219805 -0.07398276]
[ 0.41361227 -0.07539697]
[ 0.41361227 -0.07739697]
[ 0.41502648 -0.07881118]
[ 0.41644069 -0.0802254 ]
[ 0.41785491 -0.08163961]
[ 0.41926912 -0.08305382]
[ 0.42068333 -0.08446804]
[ 0.42209755 -0.08588225]
[ 0.42209755 -0.08788225]
[ 0.42351176 -0.08929646]
[ 0.42492597 -0.09071068]
[ 0.42634019 -0.09212489]
[ 0.4277544  -0.09353911]
[ 0.42916861 -0.09495332]
[ 0.43058283 -0.09636753]
[ 0.43058283 -0.09836753]
[ 0.43199704 -0.09978175]
[ 0.43341125 -0.10119596]
[ 0.43341125 -0.10119596]
